year,month,fuel_type,count
2016,1,BEV,234
2016,1,CNG,39
2016,1,Diesel,8659
2016,1,Diesel PHEV,4
2016,1,Hybrid (Diesel),53
2016,1,Hybrid (Petrol),451
2016,1,PHEV,139
2016,1,Petrol,10946
2016,2,BEV,138
2016,2,CNG,62
2016,2,Diesel,9092
2016,2,Diesel PHEV,4
2016,2,Hybrid (Diesel),62
2016,2,Hybrid (Petrol),487
2016,2,LPG,1
2016,2,PHEV,192
2016,2,Petrol,12641
2016,3,BEV,416
2016,3,CNG,55
2016,3,Diesel,10742
2016,3,Diesel PHEV,17
2016,3,Hybrid (Diesel),61
2016,3,Hybrid (Petrol),691
2016,3,PHEV,210
2016,3,Petrol,16984
2016,4,BEV,222
2016,4,CNG,67
2016,4,Diesel,11171
2016,4,Diesel PHEV,5
2016,4,Hybrid (Diesel),66
2016,4,Hybrid (Petrol),601
2016,4,PHEV,187
2016,4,Petrol,16357
2016,5,BEV,174
2016,5,CNG,77
2016,5,Diesel,10150
2016,5,Diesel PHEV,8
2016,5,Hybrid (Diesel),50
2016,5,Hybrid (Petrol),628
2016,5,LPG,1
2016,5,PHEV,165
2016,5,Petrol,14757
2016,6,BEV,360
2016,6,CNG,98
2016,6,Diesel,12387
2016,6,Diesel PHEV,6
2016,6,Hybrid (Diesel),48
2016,6,Hybrid (Petrol),699
2016,6,PHEV,184
2016,6,Petrol,17334
2016,7,BEV,132
2016,7,CNG,65
2016,7,Diesel,10484
2016,7,Diesel PHEV,20
2016,7,Hybrid (Diesel),36
2016,7,Hybrid (Petrol),663
2016,7,PHEV,213
2016,7,Petrol,14414
2016,8,BEV,258
2016,8,CNG,53
2016,8,Diesel,8546
2016,8,Diesel PHEV,13
2016,8,Hybrid (Diesel),19
2016,8,Hybrid (Petrol),604
2016,8,PHEV,154
2016,8,Petrol,12152
2016,9,BEV,452
2016,9,CNG,84
2016,9,Diesel,9927
2016,9,Diesel PHEV,11
2016,9,Hybrid (Diesel),34
2016,9,Hybrid (Petrol),894
2016,9,LPG,1
2016,9,PHEV,212
2016,9,Petrol,14560
2016,10,BEV,198
2016,10,CNG,150
2016,10,Diesel,9065
2016,10,Diesel PHEV,16
2016,10,Hybrid (Diesel),24
2016,10,Hybrid (Petrol),714
2016,10,Hydrogen,10
2016,10,PHEV,127
2016,10,Petrol,13030
2016,11,BEV,174
2016,11,CNG,89
2016,11,Diesel,10398
2016,11,Diesel PHEV,23
2016,11,Hybrid (Diesel),19
2016,11,Hybrid (Petrol),791
2016,11,PHEV,137
2016,11,Petrol,14700
2016,12,BEV,541
2016,12,CNG,97
2016,12,Diesel,13409
2016,12,Diesel PHEV,18
2016,12,Hybrid (Diesel),18
2016,12,Hybrid (Petrol),812
2016,12,LPG,1
2016,12,PHEV,179
2016,12,Petrol,20199
2017,1,BEV,301
2017,1,CNG,46
2017,1,Diesel,8064
2017,1,Diesel PHEV,13
2017,1,Hybrid (Diesel),9
2017,1,Hybrid (Petrol),488
2017,1,LPG,1
2017,1,PHEV,130
2017,1,Petrol,10594
2017,2,BEV,200
2017,2,CNG,52
2017,2,Diesel,8918
2017,2,Diesel PHEV,9
2017,2,Hybrid (Diesel),17
2017,2,Hybrid (Petrol),603
2017,2,PHEV,113
2017,2,Petrol,12888
2017,3,BEV,571
2017,3,CNG,62
2017,3,Diesel,10895
2017,3,Diesel PHEV,7
2017,3,Hybrid (Diesel),7
2017,3,Hybrid (Petrol),831
2017,3,PHEV,151
2017,3,Petrol,18178
2017,4,BEV,220
2017,4,CNG,45
2017,4,Diesel,9474
2017,4,Diesel PHEV,10
2017,4,Hybrid (Diesel),5
2017,4,Hybrid (Petrol),775
2017,4,LPG,1
2017,4,PHEV,156
2017,4,Petrol,15152
2017,5,BEV,254
2017,5,CNG,55
2017,5,Diesel,10188
2017,5,Diesel PHEV,6
2017,5,Hybrid (Diesel),20
2017,5,Hybrid (Petrol),791
2017,5,PHEV,220
2017,5,Petrol,16742
2017,6,BEV,492
2017,6,CNG,53
2017,6,Diesel,12111
2017,6,Diesel PHEV,8
2017,6,Hybrid (Diesel),15
2017,6,Hybrid (Petrol),1012
2017,6,PHEV,160
2017,6,Petrol,18229
2017,7,BEV,254
2017,7,CNG,87
2017,7,Diesel,9215
2017,7,Diesel PHEV,4
2017,7,Hybrid (Diesel),8
2017,7,Hybrid (Petrol),652
2017,7,Hydrogen,1
2017,7,PHEV,173
2017,7,Petrol,14338
2017,8,BEV,324
2017,8,CNG,62
2017,8,Diesel,7895
2017,8,Diesel PHEV,8
2017,8,Hybrid (Diesel),13
2017,8,Hybrid (Petrol),758
2017,8,PHEV,237
2017,8,Petrol,13824
2017,9,BEV,550
2017,9,CNG,60
2017,9,Diesel,8278
2017,9,Diesel PHEV,6
2017,9,Hybrid (Diesel),14
2017,9,Hybrid (Petrol),1004
2017,9,PHEV,211
2017,9,Petrol,14456
2017,10,BEV,356
2017,10,CNG,102
2017,10,Diesel,8322
2017,10,Diesel PHEV,5
2017,10,Hybrid (Diesel),10
2017,10,Hybrid (Petrol),847
2017,10,PHEV,193
2017,10,Petrol,14794
2017,11,BEV,710
2017,11,CNG,50
2017,11,Diesel,8528
2017,11,Diesel PHEV,8
2017,11,Hybrid (Diesel),44
2017,11,Hybrid (Petrol),796
2017,11,PHEV,265
2017,11,Petrol,16273
2017,12,BEV,541
2017,12,CNG,87
2017,12,Diesel,11120
2017,12,Diesel PHEV,18
2017,12,Hybrid (Diesel),17
2017,12,Hybrid (Petrol),806
2017,12,Hydrogen,1
2017,12,PHEV,382
2017,12,Petrol,18018
2018,1,BEV,246
2018,1,CNG,91
2018,1,Diesel,7546
2018,1,Diesel PHEV,24
2018,1,Hybrid (Diesel),10
2018,1,Hybrid (Petrol),678
2018,1,Hydrogen,20
2018,1,PHEV,215
2018,1,Petrol,13217
2018,2,BEV,400
2018,2,CNG,100
